title,artist,date,market,popularity
Like Crazy,Jimin,2023-03-24,US,83
Cupid - Twin Ver.,FIFTY FIFTY,2023-02-24,US,77
Super Shy,NewJeans,2023-07-07,US,81
Like Crazy,Jimin,2023-03-26,US,83
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-14,US,84
New Jeans,NewJeans,2023-07-07,US,81
OMG,NewJeans,2023-01-02,US,81
Take Two,BTS,2023-06-09,US,88
Like Crazy (English Version),Jimin,2023-03-24,US,83
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-14,US,84
Still With You,Jung Kook,2020-06-05,US,84
S-Class,Stray Kids,2023-06-02,US,82
Queencard,(G)I-DLE,2023-05-15,US,76
Ditto,NewJeans,2022-12-19,US,81
Bite Me,ENHYPEN,2023-05-22,US,76
Do It Like That,TOMORROW X TOGETHER,2023-07-07,US,76
Hype Boy,NewJeans,2022-08-01,US,81
Like Crazy (English Version),Jimin,2023-03-26,US,83
First Class,Jack Harlow,2022-05-06,US,77
BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ,2023-06-16,US,72
My You,Jung Kook,2022-06-13,US,84
Attention,NewJeans,2022-08-01,US,81
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,2023-05-01,US,76
Cupid,FIFTY FIFTY,2023-02-24,US,77
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,2023-05-01,US,76
Set Me Free Pt.2,Jimin,2023-03-17,US,83
I AM,IVE,2023-04-10,US,74
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022-11-20,US,84
Super,SEVENTEEN,2023-04-24,US,78
Face-off,Jimin,2023-03-24,US,83
MONEY,LISA,2021-09-10,US,77
FLOWER,JISOO,2023-03-31,US,69
Set Me Free Pt.2,Jimin,2023-03-24,US,83
They Don't Love It,Jack Harlow,2023-04-28,US,77
Dynamite,BTS,2020-11-20,US,88
Spicy,aespa,2023-05-08,US,72
Alone,Jimin,2023-03-24,US,83
Sugar Rush Ride,TOMORROW X TOGETHER,2023-01-27,US,76
Shoong! (feat. LISA of BLACKPINK),TAEYANG,2023-04-25,US,67
on the street (with J. Cole),j-hope,2023-03-03,US,70
WHATS POPPIN,Jack Harlow,2020-03-13,US,77
Cookie,NewJeans,2022-08-01,US,81
Rover,KAI,2023-03-13,US,65
After LIKE,IVE,2022-08-22,US,74
Run BTS,BTS,2022-06-10,US,88
Typa Girl,BLACKPINK,2022-09-16,US,82
LEFT RIGHT,XG,2023-01-25,US,66
Tyler Herro,Jack Harlow,2020-12-11,US,77
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,US,84
Hurt,NewJeans,2022-08-01,US,81
Like Crazy,Jimin,2023-03-24,MX,83
Take Two,BTS,2023-06-09,MX,88
Cupid - Twin Ver.,FIFTY FIFTY,2023-02-24,MX,77
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-14,MX,84
Like Crazy,Jimin,2023-03-26,MX,83
FLOWER,JISOO,2023-03-31,MX,69
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-14,MX,84
Still With You,Jung Kook,2020-06-05,MX,84
Queencard,(G)I-DLE,2023-05-15,MX,76
MONEY,LISA,2021-09-10,MX,77
S-Class,Stray Kids,2023-06-02,MX,82
The Planet,BTS,2023-05-12,MX,88
Super Shy,NewJeans,2023-07-07,MX,81
OMG,NewJeans,2023-01-02,MX,81
How You Like That,BLACKPINK,2020-10-02,MX,82
The Astronaut,JIN,2022-10-28,MX,67
Run BTS,BTS,2022-06-10,MX,88
Typa Girl,BLACKPINK,2022-09-16,MX,82
Like Crazy (English Version),Jimin,2023-03-24,MX,83
My You,Jung Kook,2022-06-13,MX,84
on the street (with J. Cole),j-hope,2023-03-03,MX,70
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022-11-20,MX,84
Set Me Free Pt.2,Jimin,2023-03-17,MX,83
Dynamite,BTS,2020-11-20,MX,88
Kill This Love,BLACKPINK,2019-04-05,MX,82
Pink Venom,BLACKPINK,2022-09-15,MX,82
Bite Me,ENHYPEN,2023-05-22,MX,76
Ditto,NewJeans,2022-12-19,MX,81
Shut Down,BLACKPINK,2022-09-16,MX,82
Cupid,FIFTY FIFTY,2023-02-24,MX,77
Shut Down,BLACKPINK,2022-09-15,MX,82
Do It Like That,TOMORROW X TOGETHER,2023-07-07,MX,76
Face-off,Jimin,2023-03-24,MX,83
Hype Boy,NewJeans,2022-08-01,MX,81
DDU-DU DDU-DU,BLACKPINK,2018-06-15,MX,82
FAKE LOVE,BTS,2018-05-18,MX,88
Lovesick Girls,BLACKPINK,2020-10-02,MX,82
Pretty Savage,BLACKPINK,2020-10-02,MX,82
I AM,IVE,2023-04-10,MX,74
BOOMBAYAH,BLACKPINK,2016-08-08,MX,82
All Eyes On Me,JISOO,2023-03-31,MX,69
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,2023-05-01,MX,76
As If It's Your Last,BLACKPINK,2017-06-22,MX,82
Hard to Love,BLACKPINK,2022-09-16,MX,82
New Jeans,NewJeans,2023-07-07,MX,81
LALISA,LISA,2021-09-10,MX,77
Set Me Free Pt.2,Jimin,2023-03-24,MX,83
SOLO,JENNIE,2018-11-12,MX,66
Alone,Jimin,2023-03-24,MX,83
Nxde,(G)I-DLE,2022-10-17,MX,76
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-14,BR,84
Like Crazy,Jimin,2023-03-24,BR,83
Take Two,BTS,2023-06-09,BR,88
Cupid - Twin Ver.,FIFTY FIFTY,2023-02-24,BR,77
Like Crazy,Jimin,2023-03-26,BR,83
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-14,BR,84
Super Shy,NewJeans,2023-07-07,BR,81
Queencard,(G)I-DLE,2023-05-15,BR,76
Still With You,Jung Kook,2020-06-05,BR,84
OMG,NewJeans,2023-01-02,BR,81
My You,Jung Kook,2022-06-13,BR,84
S-Class,Stray Kids,2023-06-02,BR,82
MONEY,LISA,2021-09-10,BR,77
FLOWER,JISOO,2023-03-31,BR,69
on the street (with J. Cole),j-hope,2023-03-03,BR,70
New Jeans,NewJeans,2023-07-07,BR,81
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022-11-20,BR,84
Run BTS,BTS,2022-06-10,BR,88
The Astronaut,JIN,2022-10-28,BR,67
Set Me Free Pt.2,Jimin,2023-03-17,BR,83
The Planet,BTS,2023-05-12,BR,88
Dynamite,BTS,2020-11-20,BR,88
Typa Girl,BLACKPINK,2022-09-16,BR,82
Like Crazy (English Version),Jimin,2023-03-24,BR,83
BOUNCY (K-HOT CHILLI PEPPERS),ATEEZ,2023-06-16,BR,72
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,2023-05-01,BR,76
How You Like That,BLACKPINK,2020-10-02,BR,82
Ditto,NewJeans,2022-12-19,BR,81
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-17,BR,84
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-17,BR,84
Hype Boy,NewJeans,2022-08-01,BR,81
Cupid,FIFTY FIFTY,2023-02-24,BR,77
I AM,IVE,2023-04-10,BR,61
Bite Me,ENHYPEN,2023-05-22,BR,76
Super,SEVENTEEN,2023-04-24,BR,78
Kill This Love,BLACKPINK,2019-04-05,BR,82
Spicy,aespa,2023-05-08,BR,72
Shut Down,BLACKPINK,2022-09-15,BR,82
Pink Venom,BLACKPINK,2022-09-15,BR,82
Seven (feat. Latto) (Summer Mix),Jung Kook,2023-07-17,BR,84
Seven (feat. Latto) (Band Ver.),Jung Kook,2023-07-17,BR,84
Face-off,Jimin,2023-03-24,BR,83
Shut Down,BLACKPINK,2022-09-16,BR,82
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,BR,84
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,2023-05-01,BR,76
Attention,NewJeans,2022-08-01,BR,81
Nxde,(G)I-DLE,2022-10-17,BR,76
Set Me Free Pt.2,Jimin,2023-03-24,BR,83
Pretty Savage,BLACKPINK,2020-10-02,BR,82
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-21,BR,84
Cupid - Twin Ver.,FIFTY FIFTY,2023-02-24,KR,77
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-14,KR,84
Like Crazy,Jimin,2023-03-24,KR,83
MONEY,LISA,2021-09-10,KR,77
Take Two,BTS,2023-06-09,KR,88
Super Shy,NewJeans,2023-07-07,KR,81
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-14,KR,84
Like Crazy,Jimin,2023-03-26,KR,83
OMG,NewJeans,2023-01-02,KR,81
Still With You,Jung Kook,2020-06-05,KR,84
Ditto,NewJeans,2022-12-19,KR,81
New Jeans,NewJeans,2023-07-07,KR,81
Bite Me,ENHYPEN,2023-05-22,KR,76
Hype Boy,NewJeans,2022-08-01,KR,81
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,2023-05-01,KR,76
Super,SEVENTEEN,2023-04-24,KR,78
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,2022-11-20,KR,84
My You,Jung Kook,2022-06-13,KR,84
Like Crazy (English Version),Jimin,2023-03-24,KR,83
FLOWER,JISOO,2023-03-31,KR,69
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,2023-05-01,KR,76
The Astronaut,JIN,2022-10-28,KR,67
Do It Like That,TOMORROW X TOGETHER,2023-07-07,KR,76
Cupid,FIFTY FIFTY,2023-02-24,KR,77
Attention,NewJeans,2022-08-01,KR,81
Run BTS,BTS,2022-06-10,KR,88
The Planet,BTS,2023-05-12,KR,88
Tally,BLACKPINK,2022-09-16,KR,82
Set Me Free Pt.2,Jimin,2023-03-17,KR,83
Spicy,aespa,2023-05-08,KR,72
Rover,KAI,2023-03-13,KR,65
Shut Down,BLACKPINK,2022-09-16,KR,82
Sugar Rush Ride,TOMORROW X TOGETHER,2023-01-27,KR,76
on the street (with J. Cole),j-hope,2023-03-03,KR,70
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022-02-11,KR,84
Shoong! (feat. LISA of BLACKPINK),TAEYANG,2023-04-25,KR,67
LOVE DIVE,IVE,2022-04-05,KR,74
First Class,Jack Harlow,2022-05-06,KR,77
As If It's Your Last,BLACKPINK,2017-06-22,KR,82
Face-off,Jimin,2023-03-24,KR,83
Cream Soda,EXO,2023-07-10,KR,75
ANTIFRAGILE,LE SSERAFIM,2022-10-17,KR,76
Seven (feat. Latto) (Clean Ver.),Jung Kook,2023-07-17,KR,84
Cookie,NewJeans,2022-08-01,KR,81
LALISA,LISA,2021-09-10,KR,77
Set Me Free Pt.2,Jimin,2023-03-24,KR,83
Seven (feat. Latto) (Explicit Ver.),Jung Kook,2023-07-17,KR,84
Like Crazy (English Version),Jimin,2023-03-26,KR,83
Butter,BTS,2022-06-10,KR,88
seasons,wave to earth,2020-08-04,KR,68
